id,sourceNo,location,locationCode,locationNo,localName,scientificName,family,usedParts,processing,plantCategories,plantCategoryCount,diseaseCategories,diseaseCategoryCount
225,213,Fakultas Adab dan Humaniora,FAH,54,Gewor,Commelina benghalensis L.,Commelinaceae,Daun.,"Daun dibuat ekstrak air dan diberikan oral pada tikus untuk pengujian diuresis, elektrolit urin, serta parameter biokimia plasma dan urin.",Tanaman Obat; Tanaman Toksik; Tanaman Liar; Tanaman Buah dan Sayuran,4,Gangguan Ginjal,1
226,214,Fakultas Adab dan Humaniora,FAH,55,Daun api-api,Pouzolzia zeylanica (L.) Benn.,Urticaceae,Daun.,"Daun dikeringkan, dihilangkan lemaknya dengan petroleum eter, lalu diekstraksi metanol menggunakan Soxhlet; ekstrak diuji pada model artritis tikus.",Tanaman Obat; Tanaman Liar,2,Gangguan Reumatologi,1
227,215,Fakultas Adab dan Humaniora,FAH,56,Cabai rawit,Capsicum frutescens L.,Solanaceae,Buah.,"Buah dikonsumsi sebagai bumbu atau sayuran. Dalam penelitian, buah beberapa genotipe diekstraksi untuk analisis fenolik dan flavonoid, aktivitas antioksidan, serta penghambatan α-glukosidase in vitro. Ekstrak pekat tidak disamakan dengan konsumsi kuliner.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Endokrin,1
228,216,Fakultas Adab dan Humaniora,FAH,57,Palem putri,Adonidia merrillii (Becc.) Becc.,Arecaceae,Buah dan perikarp; biji atau kernel dan minyak biji; daun; bunga.,"Penggunaan tradisional dan pangan dibedakan dari penelitian. Studi menggunakan ekstrak metanol atau pelarut lain dari buah, perikarp, dan biji, pengepresan atau analisis minyak, serta uji antibakteri dan sitotoksik in vitro.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Penyakit Infeksi; Gangguan Onkologi (Kanker),4
229,217,Fakultas Adab dan Humaniora,FAH,58,Cissus,Cissus repens Lam.,Vitaceae,Bahan tanaman kering yang diekstraksi sesuai artikel.,"Ekstraksi panas dan dingin dengan beberapa pelarut; diuji in vitro untuk aktivitas antimikroba dan antioksidan, sitotoksisitas sel 3T3, serta toksisitas awal pada benih.",Tanaman Obat; Tanaman Toksik; Tanaman Liar,3,Penyakit Infeksi,1
230,218,Fakultas Adab dan Humaniora,FAH,59,Cabai habanero/cabai cina,Capsicum chinense Jacq.,Solanaceae,Buah; perikarp/daging buah; plasenta; biji.,"Buah dikonsumsi segar, dimasak, dikeringkan, atau digiling sebagai bumbu dan pangan. Penelitian menggunakan ekstrak buah serta isolasi/kuantifikasi kapsaisin; ekstrak dan senyawa diuji terhadap α-glukosidase, α-amilase, kandungan fenolik/flavonoid, dan aktivitas antioksidan.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Endokrin,1
231,219,Fakultas Adab dan Humaniora,FAH,60,Osmoxylon,Osmoxylon lineare (Merr.) Philipson,Araliaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
232,220,Fakultas Adab dan Humaniora,FAH,61,Pacing,Costus spiralis (Jacq.) Roscoe,Costaceae,Daun.,"Daun dikeringkan dan diekstraksi secara hidroetanol; ekstrak dan fraksi diuji pada model inflamasi, nosisepsi, artritis, serta nefrotoksisitas cisplatin pada hewan.",Tanaman Obat; Tanaman Estetik,2,Gangguan Ginjal; Gangguan Reumatologi; Penyakit Infeksi,3
233,221,Fakultas Adab dan Humaniora,FAH,62,Anting putri,Wrightia religiosa (Teijsm. & Binn.) Benth. ex Kurz,Apocynaceae,"Daun, tangkai daun, kulit batang, buah, dan bagian aerial.","Bagian aerial diekstraksi dengan etanol dan diuji in vitro untuk aktivitas antioksidan, inhibisi tirosinase, serta penghambatan auto-oksidasi DOPA; tanaman dipertahankan sebagai ornamental.",Tanaman Obat; Tanaman Estetik,2,Gangguan Kulit (Dermatologi),1
234,222,Fakultas Adab dan Humaniora,FAH,63,Kamboja merah,Plumeria rubra L.,Apocynaceae,Akar; kulit batang dan batang; daun; bunga; buah dan biji; getah/lateks.,"Bagian tanaman digunakan sebagai dekokta atau infusa, serbuk, tumbukan/pasta, dan aplikasi getah secara topikal dalam laporan etnomedis. Penelitian menggunakan ekstrak air, etanol, metanol, petroleum eter, kloroform, dan fraksi/isolat untuk uji farmakologi dan toksikologi.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),8
235,223,Fakultas Adab dan Humaniora,FAH,64,Philodendron,Philodendron giganteum Schott,Araceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik; Tanaman Toksik,2,,0
236,224,Fakultas Adab dan Humaniora,FAH,65,Ara,Ficus callosa Willd.,Moraceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
237,225,Fakultas Adab dan Humaniora,FAH,66,Nephrolepis,Nephrolepis cordifolia (L.) C.Presl,Nephrolepidaceae,"Ental muda, umbi atau rimpang, dan bagian aerial.",Ental muda dan umbi digunakan sebagai pangan setelah pengolahan yang sesuai; ekstrak etanol dan fraksi etil asetat diuji in vitro serta pada model diabetes aloksan pada tikus.,Tanaman Obat; Tanaman Estetik; Tanaman Liar; Tanaman Buah dan Sayuran,4,Gangguan Sistem Pernapasan; Gangguan Endokrin; Gangguan Reumatologi; Gangguan Nutrisi,4
238,226,Fakultas Adab dan Humaniora,FAH,67,Osmoxylon,Osmoxylon lineare (Merr.) Philipson,Araliaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
239,227,Fakultas Adab dan Humaniora,FAH,68,Matoa,Pometia pinnata J.R.Forst. & G.Forst.,Sapindaceae,Daun; kulit batang; buah dan kulit buah; akar.,Bagian tanaman diekstraksi dengan air atau pelarut organik; buah dikonsumsi; kajian juga mencakup formulasi topikal dan oral.,Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Ginjal; Gangguan Endokrin; Gangguan Reumatologi; Penyakit Infeksi; Gangguan Onkologi (Kanker); Gangguan Nutrisi,8
240,228,Fakultas Adab dan Humaniora,FAH,69,Nangka,Artocarpus heterophyllus Lam.,Moraceae,"Buah muda dan matang, biji, daun, kulit batang, dan akar.","Buah dikonsumsi segar atau dimasak; biji direbus, dipanggang, atau dijadikan tepung; bagian lain dibuat ekstrak air atau alkohol untuk penggunaan tradisional dan pengujian nonklinis.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Endokrin; Penyakit Infeksi; Gangguan Onkologi (Kanker),5
241,229,Fakultas Adab dan Humaniora,FAH,70,Mimba,Azadirachta indica A.Juss.,Meliaceae,"Daun, kulit batang, biji dan minyak biji, bunga, buah, serta akar.",Bagian tanaman dibuat sebagai dekokta atau ekstrak; minyak neem digunakan secara topikal. Aktivitas dirangkum terutama dari studi in vitro dan praklinik; penggunaan memerlukan kehati-hatian karena potensi toksisitas.,Tanaman Obat; Tanaman Estetik; Tanaman Toksik,3,Gangguan Sistem Pencernaan; Gangguan Endokrin; Gangguan Imunologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),6
242,230,Fakultas Adab dan Humaniora,FAH,71,Kelapa,Cocos nucifera L.,Arecaceae,"Akar; daun; bunga/perbungaan; buah (air kelapa/endosperma cair, daging/endosperma padat, santan, minyak, sabut/mesokarp, dan tempurung/endokarp).","Air dan daging buah digunakan segar; daging diperas menjadi santan; minyak diperoleh dari kopra/daging buah; akar, daun, bunga, sabut, tempurung, dan bagian buah dibuat sebagai dekokta atau ekstrak air, etanol, metanol, dan pelarut lain untuk pengujian; beberapa sediaan digunakan oral atau topikal sesuai literatur.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Ginjal; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Reumatologi; Penyakit Infeksi; Gangguan Onkologi (Kanker),8
243,231,Fakultas Adab dan Humaniora,FAH,72,Pisang,Musa acuminata Colla,Musaceae,"Buah, kulit buah, bunga, daun, batang semu, getah, dan akar.","Buah digunakan segar atau dimasak; bagian lain dibuat sebagai jus, dekokta, bubuk, atau ekstrak pelarut untuk penggunaan tradisional dan pengujian nonklinis.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Sistem Pencernaan; Gangguan Endokrin; Gangguan Kulit (Dermatologi); Penyakit Infeksi,4
244,232,Fakultas Adab dan Humaniora,FAH,73,Patah tulang,Euphorbia tirucalli L.,Euphorbiaceae,"Lateks, batang, akar, dan bagian aerial.","Lateks dilaporkan dalam penggunaan tradisional topikal, sedangkan ekstrak berbagai pelarut diuji secara nonklinis. Getah bersifat iritan dan vesikan sehingga tidak boleh digunakan sembarangan.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik,3,Gangguan Sistem Pernapasan; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),5
245,233,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,1,Sirih hutan,Piper aduncum L.,Piperaceae,"Daun, buah, akar, dan minyak atsiri bagian aerial.","Daun dan akar dibuat sebagai dekokta atau ekstrak; minyak atsiri diperoleh dengan hidrodistilasi dan dianalisis menggunakan GC-MS, kemudian diuji in vitro terhadap bakteri, jamur, dan protozoa.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Liar,4,Gangguan Sistem Pencernaan; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),4
246,234,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,2,Cissus,Cissus repens Lam.,Vitaceae,Bahan tanaman kering yang diekstraksi sesuai artikel.,"Ekstraksi panas dan dingin dengan beberapa pelarut; diuji in vitro untuk aktivitas antimikroba dan antioksidan, sitotoksisitas sel 3T3, serta toksisitas awal pada benih.",Tanaman Obat; Tanaman Toksik; Tanaman Liar,3,Penyakit Infeksi,1
247,235,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,3,Bloodberry,Rivina humilis L.,Petiveriaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,3,,0
248,236,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,4,Philodendron jari,Philodendron bipinnatifidum Schott ex Endl.,Araceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik; Tanaman Toksik,2,,0
249,237,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,5,Ara,Ficus callosa Willd.,Moraceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
250,238,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,6,Ara,Ficus callosa Willd.,Moraceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
251,239,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,7,Dieffenbachia,Dieffenbachia seguine (Jacq.) Schott,Araceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik; Tanaman Toksik,2,,0
252,240,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,8,Pletekan,Ruellia tuberosa L.,Acanthaceae,"Daun, bunga, akar, dan akar menebal/umbi.",Rebusan atau infus tradisional; ekstrak pelarut daun/akar. Ekstrak etil asetat daun diuji in vitro pada sel MCF-7.,Tanaman Obat; Tanaman Estetik; Tanaman Liar,3,Gangguan Endokrin; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),4
253,241,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,9,Mahoni,Swietenia mahagoni (L.) Jacq.,Meliaceae,"Biji, kulit batang, dan daun.","Serbuk/rebusan biji secara tradisional; ekstrak air, etanol, atau metanol dan fraksi/isolat diuji in vitro serta pada hewan.",Tanaman Obat; Tanaman Estetik,2,Gangguan Sistem Pencernaan; Gangguan Endokrin; Penyakit Infeksi,3
254,242,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,10,Ficus,Ficus benjamina L.,Moraceae,Akar; kulit batang; daun; buah; lateks.,"Penggunaan tradisional mencakup rebusan, ekstrak, dan aplikasi lokal. Penelitian memakai ekstrak air, etanol, metanol, fraksi, minyak atau lateks, serta uji antimikroba, antiinflamasi, sitotoksik, dan aktivitas lain secara in vitro atau praklinik.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Imunologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),4
255,243,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,11,Mahoni daun lebar,Swietenia macrophylla King,Meliaceae,Biji (utama); daun dan kulit batang dilaporkan dalam literatur pendukung.,Biji dikeringkan menjadi serbuk atau diekstraksi dengan air/pelarut organik; fraksi dan ligan PPARγ diuji pada sel dan model hewan.,Tanaman Obat; Tanaman Estetik,2,Gangguan Endokrin,1
256,244,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,12,Palem phoenix,Phoenix roebelenii O'Brien,Arecaceae,Daun; buah.,"Dibudidayakan sebagai palem ornamental; buah dilaporkan sebagai pangan. Daun dan buah dikeringkan lalu diekstraksi dengan air–metanol, etanol, petroleum eter, atau difraksinasi dengan diklorometana. Ekstrak diuji hepatoprotektif berbasis sel, inhibisi ACE dan antihipertensi pada tikus, serta inhibisi enzim antidiabetes in vitro.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Endokrin,3
257,245,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,13,Nangka,Artocarpus heterophyllus Lam.,Moraceae,"Buah muda dan matang, biji, daun, kulit batang, dan akar.","Buah dikonsumsi segar atau dimasak; biji direbus, dipanggang, atau dijadikan tepung; bagian lain dibuat ekstrak air atau alkohol untuk penggunaan tradisional dan pengujian nonklinis.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Endokrin; Penyakit Infeksi; Gangguan Onkologi (Kanker),5
258,246,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,14,Teh-tehan,Acalypha siamensis Oliv. ex Gage,Euphorbiaceae,Daun.,"Daun diekstraksi dan dipartisi menggunakan heksana, diklorometana, etil asetat, dan metanol. Fraksi diuji terhadap bakteri dan kapang secara in vitro. Prosedur ini bukan anjuran penggunaan.",Tanaman Obat; Tanaman Estetik,2,Penyakit Infeksi,1
259,247,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,15,Mahoni daun lebar,Swietenia macrophylla King,Meliaceae,Biji (utama); daun dan kulit batang dilaporkan dalam literatur pendukung.,Biji dikeringkan menjadi serbuk atau diekstraksi dengan air/pelarut organik; fraksi dan ligan PPARγ diuji pada sel dan model hewan.,Tanaman Obat; Tanaman Estetik,2,Gangguan Endokrin,1
260,248,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,16,Mahoni daun lebar,Swietenia macrophylla King,Meliaceae,Biji (utama); daun dan kulit batang dilaporkan dalam literatur pendukung.,Biji dikeringkan menjadi serbuk atau diekstraksi dengan air/pelarut organik; fraksi dan ligan PPARγ diuji pada sel dan model hewan.,Tanaman Obat; Tanaman Estetik,2,Gangguan Endokrin,1
261,249,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,17,Teh-tehan,Acalypha siamensis Oliv. ex Gage,Euphorbiaceae,Daun.,"Daun diekstraksi dan dipartisi menggunakan heksana, diklorometana, etil asetat, dan metanol. Fraksi diuji terhadap bakteri dan kapang secara in vitro. Prosedur ini bukan anjuran penggunaan.",Tanaman Obat; Tanaman Estetik,2,Penyakit Infeksi,1
262,250,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,18,Pucuk merah,Syzygium paniculatum Gaertn.,Myrtaceae,Buah.,Buah dimanfaatkan sebagai pangan; ekstrak air buah diberikan oral pada tikus dengan resistensi insulin akibat diet tinggi lemak.,Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Endokrin; Gangguan Nutrisi,2
263,251,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,19,Beringin bonsai,Ficus retusa L.,Moraceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
264,252,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,20,Sukun,Artocarpus altilis (Parkinson) Fosberg,Moraceae,"Buah/daging buah, daun, kulit batang, akar, dan lateks.","Buah dimasak, direbus, atau dipanggang sebagai pangan; daun dibuat ekstrak/rebusan. Kalkon tergeranilasi daun diuji terhadap agregasi trombosit.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Endokrin; Gangguan Imunologi; Penyakit Infeksi,4
265,253,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,21,Ara,Ficus callosa Willd.,Moraceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
266,254,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,22,Sinyo nakal,Duranta erecta L.,Verbenaceae,Daun; buah; bunga; akar; kulit batang atau batang.,"Penggunaan tradisional mencakup dekokta dan aplikasi lokal. Penelitian memakai ekstrak air, etanol, metanol, fraksinasi, minyak atsiri, dan senyawa terisolasi untuk uji antimikroba, antiinflamasi, antihiperglikemik, sitotoksik, dan toksikologi.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik,3,Gangguan Endokrin; Gangguan Imunologi; Penyakit Infeksi; Gangguan Onkologi (Kanker),4
267,255,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,23,Pacing,Costus spiralis (Jacq.) Roscoe,Costaceae,Daun.,"Daun dikeringkan dan diekstraksi secara hidroetanol; ekstrak dan fraksi diuji pada model inflamasi, nosisepsi, artritis, serta nefrotoksisitas cisplatin pada hewan.",Tanaman Obat; Tanaman Estetik,2,Gangguan Ginjal; Gangguan Reumatologi; Penyakit Infeksi,3
268,256,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,24,Tembelekan,Lantana canescens Kunth,Verbenaceae,"Bagian aerial, terutama daun, batang, dan bunga.","Bagian aerial dikeringkan dan digiling, kemudian diekstraksi menggunakan pelarut hidroetanol. Ekstrak dikarakterisasi secara kimia dan diberikan secara oral pada model tikus/mencit untuk menilai inflamasi, hiperalgesia, dan nosisepsi.",Tanaman Obat; Tanaman Estetik,2,Gangguan Sistem Saraf; Gangguan Imunologi; Gangguan Reumatologi,3
269,257,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,25,Soka,Ixora chinensis Lam.,Rubiaceae,Akar; batang; kulit batang; daun; bunga.,"Akar dibuat dekokta untuk keluhan lambung, masa setelah persalinan, dan keluhan bronkial; bunga dibuat dekokta atau infusa segar; akar, batang, daun, bunga, dan kulit batang digunakan sebagai ramuan tradisional. Daun dan kulit batang dikeringkan, diserbukkan, lalu dimaserasi dengan metanol; daun juga diekstraksi dengan metanol atau etanol untuk uji antibakteri dan antioksidan.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Sistem Pernapasan; Gangguan Sistem Pencernaan; Gangguan Ginekologi dan Obstetri; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Gangguan Hematologi; Penyakit Infeksi,8
270,258,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,26,Mahoni daun lebar,Swietenia macrophylla King,Meliaceae,Biji (utama); daun dan kulit batang dilaporkan dalam literatur pendukung.,Biji dikeringkan menjadi serbuk atau diekstraksi dengan air/pelarut organik; fraksi dan ligan PPARγ diuji pada sel dan model hewan.,Tanaman Obat; Tanaman Estetik,2,Gangguan Endokrin,1
271,259,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,27,Mahoni daun lebar,Swietenia macrophylla King,Meliaceae,Biji (utama); daun dan kulit batang dilaporkan dalam literatur pendukung.,Biji dikeringkan menjadi serbuk atau diekstraksi dengan air/pelarut organik; fraksi dan ligan PPARγ diuji pada sel dan model hewan.,Tanaman Obat; Tanaman Estetik,2,Gangguan Endokrin,1
272,260,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,28,Pucuk merah,Syzygium myrtifolium Walp.,Myrtaceae,Daun.,"Daun diekstraksi menggunakan pelarut berbeda; ekstrak diuji terhadap bakteri, jamur, dan virus secara in vitro.",Tanaman Obat; Tanaman Estetik,2,Penyakit Infeksi,1
273,261,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,29,Cordyline,Cordyline fruticosa (L.) A.Chev.,Asparagaceae,"Daun, akar/rimpang, batang, dan bunga sesuai penggunaan tradisional.",Rebusan/infus tradisional; ekstrak pelarut daun dan ekstrak fungi endofit diuji terhadap bakteri secara in vitro.,Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Penyakit Infeksi,1
274,262,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,30,Sembung rambat,Pseudoconyza viscosa (Mill.) D'Arcy,Asteraceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik; Tanaman Liar,2,,0
275,263,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,31,Kapulasan,Nephelium hypoleucum Kurz,Sapindaceae,"Buah: kulit/perikarp, daging buah/aril, dan biji.",Aril dikonsumsi sebagai pangan; bagian buah dikeringbekukan/diekstraksi dan diuji kandungan gizi serta inhibisi enzim secara in vitro.,Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Sistem Saraf; Gangguan Endokrin,3
276,264,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,32,Mangga,Mangifera indica L.,Anacardiaceae,Akar; kulit batang; daun; bunga; buah dan daging buah; kulit buah; biji/kernel; getah/lateks.,"Buah dikonsumsi segar atau sebagai jus dan produk pangan. Daun, kulit batang, kulit buah, akar, bunga, dan kernel dibuat infusa/dekokta atau diekstraksi dengan air, etanol, metanol, hidroalkohol, dan pelarut lain. Fraksi, mangiferin, polifenol, serta produk seperti ekstrak kulit batang juga diteliti.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Endokrin; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),8
277,265,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,33,Mangga,Mangifera indica L.,Anacardiaceae,Akar; kulit batang; daun; bunga; buah dan daging buah; kulit buah; biji/kernel; getah/lateks.,"Buah dikonsumsi segar atau sebagai jus dan produk pangan. Daun, kulit batang, kulit buah, akar, bunga, dan kernel dibuat infusa/dekokta atau diekstraksi dengan air, etanol, metanol, hidroalkohol, dan pelarut lain. Fraksi, mangiferin, polifenol, serta produk seperti ekstrak kulit batang juga diteliti.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Endokrin; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),8
278,266,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,34,Palem kuning,Chrysalidocarpus lutescens H.Wendl.,Arecaceae,Daun,Daun diekstraksi dengan etanol/alkohol dan dipisahkan secara kromatografi; ekstrak daun juga digunakan dalam sintesis hijau nanopartikel perak untuk uji antibakteri.,Tanaman Obat; Tanaman Estetik,2,Gangguan Sistem Pencernaan; Penyakit Infeksi,2
279,267,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,35,Drasena,Dracaena angustifolia (Medik.) Roxb.,Asparagaceae,Bahan tanaman yang digunakan untuk isolasi saponin steroid.,Bahan tanaman diekstraksi dan dipisahkan melalui metode kromatografi untuk mengisolasi saponin steroid. Senyawa diuji terhadap produksi superoksida dan pelepasan elastase pada neutrofil manusia secara in vitro.,Tanaman Obat; Tanaman Estetik,2,Gangguan Imunologi,1
280,268,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,36,Tanjung,Mimusops elengi L.,Sapotaceae,Akar; kulit batang dan batang; daun; bunga; buah; biji.,"Kulit batang, daun, bunga, akar, buah, dan biji digunakan sebagai dekokta, infusa, serbuk, pasta atau bahan yang dikunyah dalam penggunaan tradisional. Penelitian menggunakan ekstrak air, etanol, metanol, petroleum eter, kloroform, dan fraksi/isolat untuk pengujian in vitro dan in vivo.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Urologi; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),10
281,269,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,37,Jambu bol,Syzygium malaccense (L.) Merr. & L.M.Perry,Myrtaceae,Buah; kulit buah; biji; daun; kulit batang atau batang.,"Buah dikonsumsi segar atau diolah sebagai pangan. Penelitian menggunakan ekstrak terstandar dan ekstrak pelarut dari daun, buah, atau batang untuk analisis fitokimia, antioksidan, dan penghambatan enzim terkait glikemia secara in vitro.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Endokrin,1
282,270,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,38,Drasena,Dracaena angustifolia (Medik.) Roxb.,Asparagaceae,Bahan tanaman yang digunakan untuk isolasi saponin steroid.,Bahan tanaman diekstraksi dan dipisahkan melalui metode kromatografi untuk mengisolasi saponin steroid. Senyawa diuji terhadap produksi superoksida dan pelepasan elastase pada neutrofil manusia secara in vitro.,Tanaman Obat; Tanaman Estetik,2,Gangguan Imunologi,1
283,271,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,39,Adam hawa,Tradescantia spathacea Sw.,Commelinaceae,"Daun, bagian aerial, dan akar.","Rebusan/infus tradisional; ekstrak air atau pelarut daun/bagian aerial diuji antibakteri, antijamur, dan inhibisi PTP1B secara in vitro.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Sistem Pernapasan; Gangguan Endokrin; Gangguan Kulit (Dermatologi); Penyakit Infeksi,4
